short_name|full_name|model_family
llama3.2-1b|meta-llama/Llama-3.2-1B-Instruct|llama
llama3.2-3b|meta-llama/Llama-3.2-3B-Instruct|llama
llama3.3-70b|meta-llama/Llama-3.3-70B-Instruct|llama
llama3.1-70b|meta-llama/Llama-3.1-70B-Instruct|llama
qwq-32b|Qwen/QwQ-32B|qwen
qwen3-32b|Qwen/Qwen3-32B|qwen
qwen3-14b|Qwen/Qwen3-14B|qwen
qwen3-4b|Qwen/Qwen3-4B|qwen
qwen3-06b|Qwen/Qwen3-0.6B|qwen
qwen2.5-vl-32b|Qwen/Qwen2.5-VL-32B-Instruct|qwen-vl
qwen2.5-vl-3b|Qwen/Qwen2.5-VL-3B-Instruct|qwen-vl
qwen3-30b-a3b|Qwen/Qwen3-30B-A3B-Thinking-2507|qwen
